time,step,hour,shift_id,normal_queue,priority_queue,wip_total,completed_jobs,defect_rate,defects,energy_consumption,operator_load,operator_skill,operator_fatigue,machine_A_status,machine_B_status,machine_C_status,machine_A_speed,machine_B_speed,machine_C_speed,maintenance_A,maintenance_B,maintenance_C,demand_spike_flag,queue_length,lead_time,machine_status
0.0,0,0,3,7.0,0.0,7.0,5,0.08248895562271272,0,7.223203587274517,0.6099558224908509,0.35822088754574566,0.20400000000000001,1,1,1,2.3191438016112516,1.7809247128010508,1.178935969680843,0,0,0,0,7.0,1.4,1.0
1.0,1,0,3,3.0,0.0,3.0,5,0.08261069636448004,0,6.726699818496592,0.6104427854579202,0.36378607271039926,0.20800000000000002,1,1,1,2.1661487712255583,1.56231024149402,0.9299157604011623,0,0,0,0,3.0,0.6,1.0
2.0,2,0,3,0.0,0.0,0.0,3,0.08270873288081101,0,6.927410012421384,0.6108349315232441,0.36982534238377957,0.21200000000000002,1,1,1,1.9976358596036803,1.8122551228526493,1.0993715330704004,0,0,0,0,0.0,0.0,1.0
3.0,3,0,3,0.0,0.0,0.0,2,0.08278161125815356,0,7.104515519248805,0.6111264450326143,0.37636777483692907,0.21600000000000003,1,1,1,2.066750224474883,1.7835808129469202,1.280313361639202,0,0,0,0,0.0,0.0,1.0
4.0,4,0,3,0.0,0.0,0.0,1,0.08282789772922589,0,6.824612262090632,0.6113115909169036,0.38344204541548227,0.22000000000000003,1,1,1,1.8928054991114653,1.5437570810654682,1.3442027474363563,0,0,0,0,0.0,0.0,1.0
5.0,5,0,3,0.0,0.0,0.0,1,0.08284620339729508,0,7.056979088734883,0.6113848135891803,0.39107593205409846,0.22400000000000003,1,1,1,2.232240008170656,1.6073860557085284,1.231597797039419,0,0,0,0,0.0,0.0,1.0
6.0,6,1,3,0.0,0.0,0.0,2,0.08283521272848293,0,6.952947665435212,0.6113408509139318,0.3992957454303414,0.22800000000000004,1,1,1,2.1580558081643115,1.9137826588403348,0.869346114789368,0,0,0,0,0.0,0.0,1.0
7.0,7,1,3,0.0,0.0,0.0,2,0.08279371572207629,0,7.263318136545077,0.6111748628883051,0.4081256855584743,0.23200000000000004,1,1,1,2.232418176095818,1.9089903470628546,1.1877391475226733,0,0,0,0,0.0,0.0,1.0
8.0,8,1,3,0.0,0.0,0.0,5,0.08272064347968737,0,7.215605090347684,0.6108825739187494,0.41758713040625284,0.23600000000000004,1,1,1,2.320732893454465,1.7182958528308236,1.2304776166493157,0,0,0,0,0.0,0.0,1.0
9.0,9,1,3,0.0,0.0,0.0,3,0.08261510666677754,2,7.2760915589006325,0.6104604266671102,0.4276978666644494,0.24000000000000005,1,1,1,2.0661485372714816,1.979985801894696,1.2989801094596132,0,0,0,1,0.0,0.0,1.0
